"threads cnt",coarse-lock list",coarse-lock list with spin-lock",lock-free list",lock-free list with pool",cds::container::michaellist",optimistic-lock lazy delete",optimistic-lock lazy delete with spin-lock list"
1,4.76839e+06,3.40869e+06,779957,3.8289e+06,2.07922e+06,868244,936037
5,677642,1.54487e+06,1.18965e+06,1.36769e+06,1.44426e+06,1.04232e+06,875871
9,450646,876450,1.34654e+06,1.4718e+06,1.44216e+06,1.15468e+06,912840
13,318002,670219,1.24325e+06,1.43231e+06,1.37968e+06,1.20975e+06,948553
17,232839,337982,1.24521e+06,1.22972e+06,1.29743e+06,985390,795720
33,178221,280734,996028,1.02891e+06,974924,770498,595262
49,150400,191725,774558,795643,743568,484998,484291
65,118444,144552,633244,543405,607156,441234,439278
81,98284.5,112896,552057,441716,553478,355272,333997
97,89996.5,98869,450198,405569,490830,295888,300020
113,85384,99373.2,404660,408416,438704,279696,268276
129,96139,321486,715582,1.18328e+06,816087,547637,581257
145,223246,269547,705944,1.19164e+06,781676,512097,525330
161,206090,222278,673170,1.04183e+06,775044,491606,550090
177,203084,237420,657262,1.1032e+06,734811,486184,481296
193,181214,188660,614716,915490,719824,461576,482188
209,178934,191544,618074,938979,675926,444052,468304
225,188598,196170,607824,1.08073e+06,683544,444592,462791
241,172640,171769,589498,943577,663523,432382,463842

