"threads cnt",lock-free queue",lock-free queue with pool",boost::lockfree::queue",cds::container::msqueue",cds::container::fcqueue",tbb::concurent_queue",std::queue with mutex",std::queue with spin-lock"
1,2.2457e+06,3.89054e+06,3.77001e+06,2.49958e+06,3.49155e+06,3.90415e+06,3.84759e+06,3.75965e+06
5,1.47998e+06,1.66509e+06,1.69489e+06,1.72967e+06,3.45899e+06,1.64055e+06,1.74466e+06,3.51215e+06
9,1.26649e+06,1.68349e+06,1.6887e+06,1.66954e+06,3.41706e+06,1.6474e+06,1.76115e+06,3.3255e+06
13,1.11571e+06,1.67544e+06,1.65772e+06,1.66493e+06,3.40953e+06,1.62449e+06,1.7348e+06,3.158e+06
17,1.00856e+06,1.65951e+06,1.65426e+06,1.65907e+06,3.36744e+06,1.62874e+06,1.7308e+06,2.93867e+06
33,858201,1.6568e+06,1.65561e+06,1.64389e+06,3.31472e+06,1.16296e+06,1.78667e+06,1.73413e+06
49,804913,1.65654e+06,1.66895e+06,1.65546e+06,3.25344e+06,1.14723e+06,1.78526e+06,1.63901e+06
65,863828,1.6491e+06,1.65683e+06,1.64836e+06,3.18934e+06,1.18792e+06,1.7894e+06,1.6589e+06
81,780309,1.64674e+06,1.6628e+06,1.65508e+06,3.12709e+06,1.20978e+06,1.79641e+06,1.67391e+06
97,796378,1.63027e+06,1.66275e+06,1.63875e+06,3.05688e+06,1.20923e+06,1.79082e+06,1.7002e+06
113,910375,1.65505e+06,1.66715e+06,1.64536e+06,2.99786e+06,1.22743e+06,1.7684e+06,1.71445e+06
129,866543,1.64882e+06,1.64266e+06,1.64344e+06,2.9543e+06,1.22526e+06,1.79524e+06,1.74221e+06
145,819496,1.64603e+06,1.65087e+06,1.64601e+06,2.86356e+06,1.23469e+06,1.78335e+06,1.76507e+06
161,800850,1.6532e+06,1.6503e+06,1.6448e+06,2.84315e+06,1.23847e+06,1.76178e+06,1.75397e+06
177,772396,1.64142e+06,1.64991e+06,1.64508e+06,2.77598e+06,1.2311e+06,1.7924e+06,1.77184e+06
193,798585,1.63985e+06,1.654e+06,1.64593e+06,2.71598e+06,1.23206e+06,1.77295e+06,1.75935e+06
209,857674,1.63425e+06,1.65499e+06,1.63726e+06,2.64144e+06,1.26734e+06,1.77164e+06,1.76043e+06
225,917207,1.64334e+06,1.65095e+06,1.64769e+06,2.60047e+06,1.23219e+06,1.76338e+06,1.76995e+06
241,917054,1.64393e+06,1.65106e+06,1.63179e+06,2.5602e+06,1.19795e+06,1.77744e+06,1.76029e+06
