"threads cnt",Michael hash-table",Michael hash-table with coarse locking lists",std::unordered_set with mutex",std::unordered_set with spin-lock",tbb::concurent_hash_map",cds::michael_set"
1,24493,24508,24557,24644,24530,24467
5,122066,121951,122112,121850,122072,121957
9,218410,218562,218820,216806,218348,225314
13,322875,346023,339665,332905,336377,329532
17,458776,434918,438566,425584,448269,437366
21,564968,566544,565725,523855,565505,564879
25,698725,700533,695439,632226,698602,691772
29,834200,845168,837627,747079,835174,834585
33,972471,977379,976975,854882,974620,980629
49,1.46271e+06,1.46342e+06,1.43472e+06,1.21455e+06,1.46675e+06,1.46058e+06
65,1.8289e+06,1.83128e+06,1.75944e+06,1.46564e+06,1.8406e+06,1.8255e+06
81,2.14923e+06,2.1498e+06,2.05634e+06,1.67766e+06,2.15992e+06,2.14837e+06
97,2.44697e+06,2.44896e+06,2.32095e+06,1.86356e+06,2.45584e+06,2.43746e+06
113,2.72786e+06,2.71885e+06,2.57449e+06,2.06695e+06,2.72946e+06,2.71319e+06
129,2.98659e+06,2.9817e+06,2.82876e+06,2.27798e+06,2.98467e+06,2.96947e+06
161,3.46476e+06,3.45618e+06,3.31364e+06,2.59179e+06,3.46146e+06,3.46513e+06
193,3.90033e+06,3.89043e+06,3.54792e+06,2.86815e+06,3.87095e+06,3.866e+06
225,4.08904e+06,4.06131e+06,3.66273e+06,3.14916e+06,4.08872e+06,4.04751e+06

