"threads cnt",coarse-lock list",coarse-lock list with spin-lock",lock-free list",lock-free list with pool",cds::container::michaellist",optimistic-lock lazy delete",optimistic-lock lazy delete with spin-lock list"
1,43489.2,41159.2,28387.5,44615.8,38166.8,18036.2,22051.2
5,31862.2,32042.2,77144,125910,95522.8,45674,53799.5
9,31302.2,31660.2,118724,198902,142422,68604,80374.8
13,32192,31807.8,142732,278772,174612,82339,94330.2
17,28263.2,28756.5,156752,266198,176631,90346.8,104143
33,26171.8,24686.2,136646,213097,145823,73686.5,85150.8
49,20381.2,19079,118451,124944,118923,71675,76462.8
65,19020.8,17794.5,107094,108510,106274,62360.5,69289.8
81,19515.2,16987.2,98133.5,107780,98197,56338.2,58268.2
97,19004.5,16170.5,90693.5,97074.2,91482.5,53162.8,55426
113,19296.8,15680,83675.2,95498,86972.8,48588.5,51084.8
129,19686.2,35793,180520,299891,229925,123424,135406
145,36539,35936.8,193115,396978,240402,118204,131894
161,34947.2,33310,193566,354416,237409,117924,131340
177,35386.2,33282,191825,357477,236108,116847,130352
193,33126.2,30870.8,190657,334638,233794,117054,128460
209,33767.5,30565.2,189344,336269,233383,116380,129835
225,32920,29703.5,189661,328178,232748,114448,128079
241,33677.5,29945.8,190037,334525,233174,115662,128688

