"threads cnt",lock-free queue",lock-free queue with pool",boost::lockfree::queue",cds::container::msqueue",cds::container::fcqueue",std::queue with mutex",std::queue with spin-lock"
1,4.76207e+06,1.94803e+07,1.82569e+07,5.85935e+06,1.31806e+07,1.90811e+07,1.66994e+07
3,2.30338e+06,2.74735e+06,2.58143e+06,3.32955e+06,1.30942e+07,2.93537e+06,1.62823e+07
5,1.67308e+06,2.21056e+06,2.02916e+06,2.06037e+06,1.29065e+07,2.51892e+06,1.6106e+07
7,1.74605e+06,2.17314e+06,2.00259e+06,2.0841e+06,1.2744e+07,2.59808e+06,1.59026e+07
9,1.77168e+06,2.24607e+06,2.094e+06,1.96925e+06,1.30038e+07,2.71674e+06,1.57358e+07
11,1.745e+06,2.16754e+06,2.0296e+06,1.98909e+06,1.29123e+07,2.60552e+06,1.57116e+07
13,1.72336e+06,2.06729e+06,1.87578e+06,1.80854e+06,1.29311e+07,2.65853e+06,1.55428e+07
15,1.73752e+06,2.01528e+06,1.88836e+06,1.98589e+06,1.29056e+07,2.54303e+06,1.54967e+07
17,1.7862e+06,2.27878e+06,2.11216e+06,2.04093e+06,1.28319e+07,2.63035e+06,1.53084e+07
21,1.77075e+06,2.34662e+06,2.19442e+06,2.04142e+06,1.27425e+07,2.56214e+06,1.5074e+07
25,1.74356e+06,2.15846e+06,2.00355e+06,1.91708e+06,1.26931e+07,2.4435e+06,1.46872e+07
29,1.74426e+06,2.18102e+06,2.04245e+06,1.9703e+06,1.26295e+07,2.20838e+06,1.21979e+07
33,1.73173e+06,2.10122e+06,2.03273e+06,1.96619e+06,1.25296e+07,2.36635e+06,6.62347e+06
37,1.64451e+06,1.75998e+06,1.69909e+06,1.88192e+06,1.24481e+07,2.42751e+06,3.41828e+06
41,1.63517e+06,1.73018e+06,1.77596e+06,1.84965e+06,1.24098e+07,2.28494e+06,2.78218e+06
45,1.62572e+06,1.70996e+06,1.78976e+06,1.89984e+06,1.23191e+07,2.45007e+06,2.67966e+06
49,1.61984e+06,1.71055e+06,1.93755e+06,1.93534e+06,1.22711e+07,2.28817e+06,2.59016e+06
53,1.63543e+06,1.64367e+06,1.67783e+06,1.83515e+06,1.22104e+07,2.36543e+06,2.5865e+06
57,1.63336e+06,1.72142e+06,1.65592e+06,1.75385e+06,1.21488e+07,2.26688e+06,2.59608e+06
61,1.60687e+06,1.62482e+06,1.74143e+06,1.88334e+06,1.2081e+07,2.22317e+06,2.58005e+06
65,1.59769e+06,1.62865e+06,1.62259e+06,1.81415e+06,1.19973e+07,2.32018e+06,2.58138e+06
69,1.59645e+06,1.61241e+06,1.73841e+06,1.79335e+06,1.19694e+07,2.07305e+06,2.55912e+06

